employee_id,first_name,last_name,gender,date_of_birth,marital_status,email,phone_number,home_address,job_title,department,employment_status,hire_date,employment_type,work_location,salary,bank_details,health_plan,promotions
EMP-11,Peadar,Lorenzo,Male,15-03-1988,Divorced,peadar.lorenzo@company.com,(726) 2723609,7467 Park Meadow Street,Programmer Analyst IV,Engineering,Active,22-02-2006,Permanent,Head Office,6677,46-441-1281,Medicare,Promoted
EMP-12,Eula,Goldspink,Female,09-09-2012,Married,eula.goldspink@company.com,(192) 2088753,15 Hovde Hill,Geological Engineer,Marketing,On Leave,29-06-2005,Permanent,Site,5659,66-455-8921,Point of Service,Unchanged
EMP-13,Ferdy,Cremin,Male,02-01-2011,Single,ferdy.cremin@company.com,(167) 9351329,2975 Waxwing Junction,Senior Quality Engineer,Business Development,Active,16-07-2005,Permanent,Branch,3633,56-092-8872,Point of Service,Promoted
EMP-14,Arthur,Couling,Male,26-07-2018,Married,arthur.couling@company.com,(728) 6607161,831 Fremont Park,Chief Design Engineer,Support,Active,07-02-1999,Permanent,Branch,4207,48-661-4804,Medicare,Promoted
EMP-15,Nettie,Kille,Female,25-12-2022,Married,nettie.kille@company.com,(722) 1623891,24 Fuller Drive,Sales Representative,Training,Active,22-05-2010,Permanent,Branch,5776,22-905-9056,Point of Service,Unchanged
EMP-16,Angelika,Parfrey,Female,16-03-2008,Divorced,angelika.parfrey@company.com,(394) 5752237,2 Golf View Place,Help Desk Operator,Engineering,Active,11-05-2009,Contract,Site,2882,05-700-5795,Exclusive Provider Organization,Unchanged
EMP-17,Imelda,Greenin,Female,01-08-2002,Married,imelda.greenin@company.com,(992) 2744812,508 Pine View Circle,Teacher,Training,Active,28-11-2006,Contract,Head Office,3501,20-704-0568,Exclusive Provider Organization,Promoted
EMP-18,Kit,Nucciotti,Female,25-05-2005,Married,kit.nucciotti@company.com,(409) 7441218,12394 Tomscot Park,Nurse Practicioner,Marketing,Resigned,23-03-2020,Contract,Head Office,1372,65-382-4422,High Deductible Health Plan,Promoted
EMP-19,Homerus,Prue,Male,17-02-1972,Single,homerus.prue@company.com,(578) 5273327,68498 Randy Trail,Safety Technician III,Support,Active,16-12-2006,Contract,Terminal,3076,78-808-9511,Medicare,Demoted
EMP-20,Hobey,Northcliffe,Male,24-01-1973,Married,hobey.northcliffe@company.com,(142) 8826328,48522 Dayton Drive,Human Resources Manager,Business Development,Active,21-06-1999,Permanent,Head Office,1904,60-897-6710,Health Maintenance Organization,Unchanged
EMP-21,Cletus,Winkle,Male,02-11-1988,Married,cletus.winkle@company.com,(217) 9269742,7727 Eastwood Street,Biostatistician III,Sales,Active,02-02-1993,Permanent,Head Office,5783,79-053-0039,Point of Service,Promoted
EMP-22,Sylvan,Malham,Male,09-10-1990,Married,sylvan.malham@company.com,(616) 7022288,33022 Maple Wood Trail,Environmental Tech,Engineering,Resigned,01-02-2007,Contract,Terminal,2193,01-487-2515,Point of Service,Promoted
EMP-23,Antonie,Bisco,Female,01-06-2013,Married,antonie.bisco@company.com,(827) 1317484,793 Burning Wood Parkway,Financial Analyst,Business Development,Active,23-07-2003,Permanent,Head Office,5794,13-448-9809,Medicare,Promoted
EMP-24,Kenton,Arnaudet,Male,11-05-1993,Single,kenton.arnaudet@company.com,(196) 9765059,19160 Ohio Avenue,Account Representative IV,Human Resources,Active,13-03-2010,Contract,Head Office,2748,35-735-9945,Point of Service,Unchanged
EMP-25,Conway,Sapp,Male,09-12-1972,Married,conway.sapp@company.com,(621) 2953605,808 Bultman Trail,Product Engineer,Sales,Active,03-09-1995,Permanent,Branch,3801,06-240-7858,Medicare,Unchanged
EMP-26,Garwin,Pinkney,Male,30-12-2009,Single,garwin.pinkney@company.com,(829) 3501963,019 Colorado Court,VP Product Management,Marketing,Active,31-10-2008,Permanent,Terminal,6172,73-069-6281,Medicare,Unchanged
EMP-27,Freda,Lawday,Female,11-04-2016,Married,freda.lawday@company.com,(743) 5046727,10400 Stang Road,Information Systems Manager,Support,Resigned,27-05-2018,Permanent,Head Office,4388,36-995-3591,Exclusive Provider Organization,Unchanged
EMP-28,Dionis,Ellwell,Female,24-02-2003,Single,dionis.ellwell@company.com,(958) 7743235,4 Cordelia Terrace,Software Consultant,Legal,On Leave,11-04-2014,Contract,Head Office,3106,75-383-3760,Point of Service,Unchanged
EMP-29,Ashley,Grinikhin,Male,26-05-1978,Married,ashley.grinikhin@company.com,(137) 9212860,4 Utah Way,VP Accounting,Human Resources,Resigned,06-04-2000,Permanent,Branch,3232,46-726-0163,Medicare,Promoted
EMP-30,Christian,Ocklin,Male,03-03-2004,Married,christian.ocklin@company.com,(970) 3169640,7 Oneill Crossing,Engineer I,Research and Development,Active,22-11-2006,Permanent,Site,3762,93-509-5153,Exclusive Provider Organization,Unchanged
EMP-31,Johnathon,Wakely,Male,07-12-2005,Divorced,johnathon.wakely@company.com,(422) 9033832,1779 Sunfield Hill,GIS Technical Architect,Sales,On Leave,01-07-2013,Permanent,Branch,4853,05-867-8696,Health Maintenance Organization,Unchanged
EMP-32,Gauthier,Scranny,Male,18-09-1992,Married,gauthier.scranny@company.com,(199) 8788549,22 Packers Lane,Pharmacist,Support,Active,12-01-2004,Permanent,Terminal,2780,44-954-5335,Health Maintenance Organization,Unchanged
EMP-33,Linnet,Craythorne,Female,18-02-2023,Married,linnet.craythorne@company.com,(159) 9400153,42 Steensland Circle,Quality Engineer,Research and Development,Active,04-01-1998,Casual,Branch,5820,55-609-7891,Medicare,Unchanged
EMP-34,Kliment,Grabiec,Male,02-06-2015,Single,kliment.grabiec@company.com,(426) 6341729,587 Lake View Road,Help Desk Operator,Accounting,Active,15-10-2009,Permanent,Head Office,6637,58-892-7737,Health Maintenance Organization,Promoted
EMP-35,Roi,Bray,Male,19-03-1985,Single,roi.bray@company.com,(111) 6999897,1 American Ash Junction,Mechanical Systems Engineer,Research and Development,On Leave,04-01-2013,Casual,Head Office,3304,37-792-9833,Medicare,Unchanged
EMP-36,Woodie,Maitland,Male,01-07-1981,Married,woodie.maitland@company.com,(628) 9708920,4 Mesta Trail,Programmer III,Research and Development,Active,08-11-2022,Permanent,Branch,4003,84-934-6755,High Deductible Health Plan,Unchanged
EMP-37,Thor,Tiler,Male,09-06-1989,Married,thor.tiler@company.com,(591) 6164394,28 Walton Place,Account Coordinator,Support,Active,23-03-2022,Contract,Branch,4192,92-783-2654,Medicare,Unchanged
EMP-38,Blane,Endacott,Male,11-01-2018,Married,blane.endacott@company.com,(101) 4181145,6193 Old Gate Center,Account Coordinator,Services,On Leave,12-05-2020,Contract,Terminal,6795,18-459-5095,Point of Service,Unchanged
EMP-39,Noreen,Selvey,Female,08-02-2022,Married,noreen.selvey@company.com,(938) 8610064,7 Doe Crossing Drive,Recruiting Manager,Services,Active,12-02-2024,Permanent,Head Office,4202,00-144-0337,Medicare,Unchanged
EMP-40,Curtis,Cottie,Male,07-04-2024,Single,curtis.cottie@company.com,(826) 6722583,2671 Waxwing Drive,Cost Accountant,Product Management,Resigned,08-12-2001,Permanent,Branch,6574,52-721-8268,Point of Service,Unchanged
EMP-41,Kory,Morston,Male,29-04-1975,Married,kory.morston@company.com,(690) 3859240,33 Golf Way,Mechanical Systems Engineer,Product Management,Active,14-08-2023,Contract,Branch,2378,58-597-1220,High Deductible Health Plan,Promoted
EMP-42,Duky,Otridge,Male,24-07-2010,Single,duky.otridge@company.com,(479) 3407743,2130 Ilene Parkway,General Manager,Training,Terminated,31-10-2018,Contract,Terminal,2630,48-274-8171,Health Maintenance Organization,Promoted
EMP-43,Petronilla,Meakin,Female,22-06-1973,Single,petronilla.meakin@company.com,(279) 7123121,96 Grayhawk Alley,Research Assistant I,Training,Terminated,08-12-1992,Permanent,Head Office,6897,23-704-0170,Medicare,Unchanged
EMP-44,Malcolm,Springate,Male,04-07-2004,Married,malcolm.springate@company.com,(975) 3755125,30 Sage Junction,Office Assistant III,Product Management,Active,13-05-2024,Permanent,Site,3591,47-256-5498,Medicare,Unchanged
EMP-45,Fernande,Dinsell,Female,03-09-2004,Married,fernande.dinsell@company.com,(968) 1018794,635 Barnett Alley,Associate Professor,Accounting,Active,29-01-1995,Permanent,Branch,4596,55-041-3151,Health Maintenance Organization,Unchanged
EMP-46,Hyacinth,Kliesl,Female,28-08-1988,Married,hyacinth.kliesl@company.com,(273) 5756611,88 Brickson Park Circle,Civil Engineer,Support,Active,21-06-2009,Contract,Terminal,6436,50-022-8901,Health Maintenance Organization,Unchanged
EMP-47,Dianemarie,Garrie,Female,29-05-2021,Married,dianemarie.garrie@company.com,(225) 5911718,148 Gerald Pass,Dental Hygienist,Support,Active,10-02-2009,Contract,Site,3329,40-330-7312,Medicare,Unchanged
EMP-48,Vickie,Habbijam,Female,09-02-1970,Married,vickie.habbijam@company.com,(609) 9715894,3158 Brown Avenue,Executive Secretary,Human Resources,Terminated,22-07-2008,Permanent,Head Office,2075,97-572-9104,High Deductible Health Plan,Unchanged
EMP-49,Roddie,Smeaton,Male,15-11-2014,Single,roddie.smeaton@company.com,(778) 3496051,6 Shoshone Trail,Senior Cost Accountant,Human Resources,Resigned,01-05-1994,Permanent,Terminal,5149,57-211-7210,Point of Service,Unchanged
EMP-50,Skippy,Mattheus,Male,26-03-1999,Divorced,skippy.mattheus@company.com,(131) 1465312,79 Blue Bill Park Terrace,Speech Pathologist,Research and Development,Active,17-08-2005,Casual,Head Office,2909,70-058-5757,Exclusive Provider Organization,Unchanged
EMP-51,Milty,Seymer,Male,02-02-2020,Married,milty.seymer@company.com,(401) 8884928,0231 Roth Avenue,Computer Systems Analyst III,Product Management,Active,12-09-1993,Permanent,Site,4162,50-322-3851,Exclusive Provider Organization,Promoted
EMP-52,Maurise,Gerrad,Male,17-01-1983,Married,maurise.gerrad@company.com,(668) 5183132,973 Butternut Pass,Pharmacist,Human Resources,Active,27-05-2020,Permanent,Head Office,5810,01-283-1765,Exclusive Provider Organization,Demoted
EMP-53,Raphael,Werner,Male,28-06-2015,Married,raphael.werner@company.com,(203) 3844889,6204 Debs Drive,Senior Sales Associate,Business Development,Active,13-03-2022,Permanent,Head Office,3179,22-115-0290,Health Maintenance Organization,Unchanged
EMP-54,Rabi,MacRedmond,Male,20-01-1996,Married,rabi.macredmond@company.com,(195) 1069595,656 Johnson Center,Staff Scientist,Support,Active,20-04-2019,Casual,Site,5415,98-641-3885,Medicare,Unchanged
EMP-55,Kandace,Strooband,Female,09-07-1995,Married,kandace.strooband@company.com,(348) 5608101,10006 Donald Parkway,Recruiting Manager,Training,Resigned,06-02-2000,Contract,Terminal,4725,60-927-0066,Preferred Provider Organization,Unchanged
EMP-56,Curt,Kubasiewicz,Male,03-09-1976,Married,curt.kubasiewicz@company.com,(885) 5193483,85482 Valley Edge Parkway,Human Resources Manager,Marketing,Resigned,18-07-1995,Contract,Terminal,6029,38-027-6569,High Deductible Health Plan,Unchanged
EMP-57,Meagan,Brownsmith,Female,18-05-2019,Married,meagan.brownsmith@company.com,(475) 6593828,9 Elgar Road,Developer II,Product Management,Active,04-03-2015,Contract,Head Office,2837,60-930-2449,Medicare,Unchanged
EMP-58,Codee,Skiplorne,Female,11-05-2011,Married,codee.skiplorne@company.com,(974) 9515892,075 4th Parkway,Software Consultant,Research and Development,Active,02-10-2012,Contract,Site,6381,16-629-8025,Medicare,Promoted
EMP-59,Davis,Robatham,Male,19-02-1988,Married,davis.robatham@company.com,(795) 1181748,5 Esch Plaza,Account Representative III,Research and Development,On Leave,21-09-1995,Permanent,Head Office,2154,80-699-8081,Medicare,Demoted
EMP-60,Tuck,Simchenko,Male,20-02-2002,Single,tuck.simchenko@company.com,(668) 8754386,253 Pennsylvania Terrace,Web Designer IV,Sales,Active,05-07-1993,Permanent,Head Office,5348,54-550-4923,Health Maintenance Organization,Unchanged
EMP-61,Patricia,Lowdwell,Female,27-04-1999,Married,patricia.lowdwell@company.com,(425) 2128539,4 Dapin Plaza,Statistician III,Training,Active,20-09-2012,Contract,Branch,3650,07-671-8602,Health Maintenance Organization,Promoted
EMP-62,Mireille,Defau,Female,16-03-2005,Married,mireille.defau@company.com,(568) 4565369,123 Stone Corner Point,Tax Accountant,Accounting,Active,04-01-2021,Casual,Terminal,3181,88-861-2526,Health Maintenance Organization,Promoted
EMP-63,Lynett,Stopps,Female,20-07-2016,Married,lynett.stopps@company.com,(907) 8015575,129 Derek Avenue,VP Sales,Accounting,On Leave,28-06-1994,Permanent,Head Office,5146,44-497-6940,High Deductible Health Plan,Promoted
EMP-64,Laurent,Hegel,Male,02-11-2000,Married,laurent.hegel@company.com,(711) 2592850,65 Johnson Circle,Product Engineer,Product Management,Active,07-06-2011,Permanent,Branch,6633,61-519-0829,Exclusive Provider Organization,Unchanged
EMP-65,Gibbie,Cassidy,Male,18-08-1996,Married,gibbie.cassidy@company.com,(130) 5691762,02 Scott Trail,Payment Adjustment Coordinator,Sales,Active,17-03-2014,Permanent,Site,1277,31-334-3005,High Deductible Health Plan,Promoted
EMP-66,Ashla,McCooke,Female,10-03-2012,Married,ashla.mccooke@company.com,(765) 4846223,4877 Basil Center,Senior Developer,Legal,Active,15-08-2001,Permanent,Terminal,6345,59-055-6079,Medicare,Promoted
EMP-67,Frants,Swanne,Male,17-06-2014,Married,frants.swanne@company.com,(116) 3425051,2 Memorial Point,Account Representative II,Legal,Resigned,21-10-2008,Permanent,Terminal,1363,68-764-4495,Point of Service,Unchanged
EMP-68,Kalina,Rusk,Female,03-09-2020,Single,kalina.rusk@company.com,(216) 8706482,3210 Towne Center,GIS Technical Architect,Research and Development,Active,18-05-2016,Contract,Head Office,6721,27-361-9472,Exclusive Provider Organization,Promoted
EMP-69,Woodie,Edwinson,Male,14-10-2009,Married,woodie.edwinson@company.com,(320) 8815354,49 Vahlen Circle,Chief Design Engineer,Training,Active,14-06-2008,Permanent,Branch,1214,05-379-5256,Preferred Provider Organization,Unchanged
EMP-70,Urson,Teresi,Male,02-02-1972,Married,urson.teresi@company.com,(982) 2714377,0 Hintze Road,Administrative Assistant IV,Support,Resigned,17-04-1998,Permanent,Branch,4592,33-154-8757,Exclusive Provider Organization,Unchanged
EMP-71,Lovell,Hellings,Male,14-12-2002,Married,lovell.hellings@company.com,(654) 4849206,399 Lawn Point,Speech Pathologist,Human Resources,Active,15-11-2023,Casual,Terminal,6655,70-231-0638,Preferred Provider Organization,Unchanged
EMP-72,Abe,Wickstead,Male,01-12-2006,Married,abe.wickstead@company.com,(892) 7840108,2961 Nobel Place,Senior Developer,Support,On Leave,25-06-2014,Permanent,Head Office,1729,14-675-4136,Exclusive Provider Organization,Promoted
EMP-73,Alanah,Wheelan,Female,31-07-1983,Married,alanah.wheelan@company.com,(357) 3065091,93330 Blaine Crossing,Human Resources Manager,Services,On Leave,11-03-2012,Permanent,Head Office,5546,29-975-3270,Medicare,Unchanged
EMP-74,Mabelle,Ratchford,Female,31-05-1992,Married,mabelle.ratchford@company.com,(186) 3034288,34876 Chive Hill,Biostatistician II,Business Development,Active,09-04-2018,Contract,Branch,2623,39-518-7733,Medicare,Unchanged
EMP-75,Raleigh,Jesson,Male,01-03-2011,Married,raleigh.jesson@company.com,(987) 6214254,6374 Badeau Pass,Account Representative III,Marketing,On Leave,29-07-2005,Permanent,Site,4883,48-783-3524,Preferred Provider Organization,Demoted
EMP-76,Aldridge,D'Antonio,Male,12-05-1987,Married,aldridge.d'antonio@company.com,(179) 9521835,5175 Bartelt Street,Data Coordinator,Services,Active,03-07-1999,Contract,Site,3297,74-558-0313,Medicare,Promoted
EMP-77,Marcos,Kingshott,Male,23-11-1986,Married,marcos.kingshott@company.com,(553) 6136735,265 Almo Street,Systems Administrator II,Sales,On Leave,08-02-2007,Casual,Head Office,1591,08-595-7560,Exclusive Provider Organization,Promoted
EMP-78,Claire,Kingaby,Male,12-08-1970,Married,claire.kingaby@company.com,(569) 8878935,33 Summerview Pass,Statistician II,Accounting,Terminated,28-02-2019,Contract,Site,5989,94-036-8838,Medicare,Unchanged
EMP-79,Garwin,Henrichsen,Male,12-08-2000,Married,garwin.henrichsen@company.com,(303) 1303286,07054 5th Street,Biostatistician IV,Research and Development,Active,18-08-2000,Permanent,Terminal,3147,94-338-6174,Point of Service,Demoted
EMP-80,Rory,Rumke,Male,21-01-1997,Married,rory.rumke@company.com,(617) 1074646,2 Mallory Way,Physical Therapy Assistant,Support,Active,09-01-2004,Permanent,Terminal,6579,99-536-3603,Medicare,Unchanged
EMP-81,Norby,Hannigane,Male,05-09-1993,Married,norby.hannigane@company.com,(706) 1652227,434 Nelson Trail,Human Resources Manager,Accounting,Active,13-07-1997,Permanent,Head Office,2303,55-083-3860,High Deductible Health Plan,Unchanged
EMP-82,Forster,Fray,Male,12-10-1997,Single,forster.fray@company.com,(325) 2629300,16283 Delaware Center,Physical Therapy Assistant,Engineering,Active,16-04-2002,Permanent,Head Office,6196,78-926-1407,Exclusive Provider Organization,Promoted
EMP-83,Vail,Dumsday,Male,18-09-2013,Married,vail.dumsday@company.com,(340) 5128527,2 Melby Hill,Technical Writer,Marketing,Active,08-08-1994,Permanent,Site,1203,07-324-5554,Medicare,Unchanged
EMP-84,Tonia,Stallion,Female,11-12-1999,Single,tonia.stallion@company.com,(464) 6573101,128 Jay Trail,Account Coordinator,Engineering,Active,13-02-2014,Permanent,Terminal,4751,86-650-4999,Medicare,Promoted
EMP-85,Lorettalorna,Matuszynski,Female,16-10-1986,Single,lorettalorna.matuszynski@company.com,(917) 3954458,33 Eastwood Pass,Payment Adjustment Coordinator,Marketing,Active,19-01-1992,Contract,Site,6076,80-037-9494,Point of Service,Promoted
EMP-86,Tymon,Stot,Male,01-10-2022,Married,tymon.stot@company.com,(615) 8210489,8 David Drive,Engineer IV,Marketing,Terminated,30-08-2017,Contract,Head Office,6092,62-899-2614,Exclusive Provider Organization,Unchanged
EMP-87,Jarrad,Bemwell,Male,10-11-2002,Married,jarrad.bemwell@company.com,(904) 8106811,6 Birchwood Pass,Operator,Services,On Leave,01-11-2008,Permanent,Head Office,3727,45-956-8156,Point of Service,Unchanged
EMP-88,Sammie,Eliasson,Male,15-07-2012,Married,sammie.eliasson@company.com,(960) 6488838,9 Hoepker Road,Biostatistician IV,Training,Active,13-11-1999,Permanent,Head Office,1443,49-323-1293,Point of Service,Promoted
EMP-89,Oriana,Binham,Female,17-06-2021,Married,oriana.binham@company.com,(787) 5601399,0 Clyde Gallagher Circle,VP Accounting,Marketing,On Leave,12-06-2016,Contract,Head Office,6176,05-591-1561,Medicare,Unchanged
EMP-90,Lester,Dovinson,Male,15-06-1992,Married,lester.dovinson@company.com,(236) 6901740,6 Main Hill,Product Engineer,Research and Development,On Leave,18-02-2006,Contract,Branch,1246,40-309-6318,Medicare,Promoted
EMP-91,Ingemar,Forty,Male,10-12-2001,Married,ingemar.forty@company.com,(406) 6058162,6 Memorial Plaza,Office Assistant III,Legal,Active,01-03-2002,Contract,Branch,5147,84-132-0086,High Deductible Health Plan,Unchanged
EMP-92,Adolphus,Smithers,Male,08-01-1972,Married,adolphus.smithers@company.com,(866) 7711665,60925 Clove Lane,Mechanical Systems Engineer,Human Resources,Terminated,03-12-2014,Contract,Head Office,6536,73-116-5699,Medicare,Unchanged
EMP-93,Petrina,Wyrill,Female,16-04-1995,Single,petrina.wyrill@company.com,(978) 8570921,957 Gina Center,Technical Writer,Legal,Active,11-02-2012,Permanent,Site,5018,32-296-7569,High Deductible Health Plan,Unchanged
EMP-94,Torr,Nobles,Male,25-12-1982,Married,torr.nobles@company.com,(218) 3134708,476 Kinsman Pass,Food Chemist,Engineering,On Leave,28-12-1997,Contract,Site,4822,20-963-3258,Medicare,Promoted
EMP-95,Danika,Carding,Female,13-04-2011,Married,danika.carding@company.com,(485) 1345492,310 Schiller Place,Teacher,Human Resources,Active,03-02-2007,Contract,Terminal,1229,93-341-3564,Medicare,Unchanged
EMP-96,Honey,Sygrove,Female,04-03-1998,Single,honey.sygrove@company.com,(666) 9869971,42 7th Hill,Civil Engineer,Business Development,On Leave,19-06-2009,Contract,Terminal,6732,70-145-7878,Medicare,Unchanged
EMP-97,Gino,Normadell,Male,07-10-1970,Married,gino.normadell@company.com,(709) 6647819,1732 Farragut Drive,Librarian,Business Development,Active,30-04-1998,Contract,Head Office,1812,29-368-1322,Exclusive Provider Organization,Demoted
EMP-98,Dunc,Aymer,Male,19-09-1971,Married,dunc.aymer@company.com,(124) 3154155,8 Macpherson Street,Software Consultant,Services,Active,30-03-2000,Permanent,Head Office,2866,88-738-9182,Medicare,Unchanged
EMP-99,Ramonda,Fehners,Female,15-10-2016,Divorced,ramonda.fehners@company.com,(708) 7789238,9331 Bunker Hill Pass,Structural Analysis Engineer,Services,Active,06-05-1995,Permanent,Site,3101,84-996-4899,Medicare,Unchanged
EMP-100,Franzen,Leeuwerink,Male,06-11-1974,Married,franzen.leeuwerink@company.com,(264) 1469574,6 Kensington Place,Environmental Tech,Accounting,Active,01-03-1993,Permanent,Head Office,4844,69-056-8449,Medicare,Unchanged
EMP-101,Algernon,Mordie,Male,27-03-2015,Married,algernon.mordie@company.com,(121) 6292251,94848 Lakewood Parkway,Marketing Manager,Human Resources,Active,28-10-2023,Contract,Branch,2251,96-964-0631,Point of Service,Demoted
EMP-102,Laurel,Ternott,Female,04-03-2010,Single,laurel.ternott@company.com,(581) 8118983,38 Russell Junction,VP Sales,Engineering,On Leave,30-04-2001,Permanent,Branch,4105,49-803-8663,Medicare,Unchanged
EMP-103,Phyllys,Arthars,Female,12-10-1980,Single,phyllys.arthars@company.com,(726) 1115824,1 Southridge Way,Senior Cost Accountant,Legal,Active,15-08-2010,Permanent,Head Office,5966,18-212-2328,Medicare,Unchanged
EMP-104,Berenice,Roussel,Female,15-03-2021,Married,berenice.roussel@company.com,(323) 5371301,97 Schiller Place,Tax Accountant,Human Resources,Active,20-07-2020,Permanent,Terminal,4032,57-023-7258,Exclusive Provider Organization,Unchanged
EMP-105,Krysta,Marciek,Female,29-09-1987,Single,krysta.marciek@company.com,(608) 9715779,79 Mcbride Court,Recruiter,Sales,Resigned,30-09-1996,Permanent,Site,3710,27-411-1502,Point of Service,Promoted
EMP-106,Nataniel,Hearons,Male,13-03-2000,Married,nataniel.hearons@company.com,(294) 8149977,93593 Farmco Lane,Safety Technician II,Marketing,Active,27-12-2001,Contract,Site,4859,67-575-6455,Medicare,Unchanged
EMP-107,Zaria,Peebles,Female,07-03-1983,Single,zaria.peebles@company.com,(611) 2381967,0 Dawn Circle,Food Chemist,Product Management,Active,25-11-1997,Permanent,Head Office,1649,03-811-1677,Exclusive Provider Organization,Promoted
EMP-108,Lynnett,Gentil,Female,28-09-1996,Married,lynnett.gentil@company.com,(732) 4402165,80 School Crossing,Information Systems Manager,Research and Development,Active,04-12-2000,Permanent,Site,6552,22-521-7968,Point of Service,Unchanged
EMP-109,Ardisj,Shorte,Female,20-08-1981,Single,ardisj.shorte@company.com,(803) 9516198,11441 Monterey Pass,Occupational Therapist,Support,Active,07-12-2024,Permanent,Site,1200,74-689-7832,Exclusive Provider Organization,Promoted
EMP-110,Farra,Oswal,Female,11-11-2017,Married,farra.oswal@company.com,(983) 8094550,7819 Maple Wood Terrace,Senior Sales Associate,Support,Active,01-07-2011,Permanent,Branch,4573,71-332-9980,Exclusive Provider Organization,Demoted
EMP-111,Brier,Underhill,Female,26-07-2011,Married,brier.underhill@company.com,(154) 2789399,729 Artisan Junction,Web Designer II,Product Management,Active,03-08-2002,Contract,Branch,3253,51-605-0335,Health Maintenance Organization,Promoted
EMP-112,Sven,Jeffreys,Male,22-10-1987,Married,sven.jeffreys@company.com,(920) 7910756,4 Lakeland Lane,Electrical Engineer,Services,Terminated,01-07-2010,Contract,Branch,2249,72-620-5999,Exclusive Provider Organization,Promoted
EMP-113,Mavra,Snashall,Female,15-02-1998,Married,mavra.snashall@company.com,(123) 3926234,96775 Straubel Junction,Legal Assistant,Marketing,On Leave,08-01-2017,Permanent,Head Office,1210,71-417-0723,Medicare,Promoted
EMP-114,Fanny,Firmage,Female,27-11-2013,Married,fanny.firmage@company.com,(402) 5114928,2053 Fremont Crossing,Nuclear Power Engineer,Engineering,Active,22-03-2019,Permanent,Terminal,6493,47-824-0598,High Deductible Health Plan,Promoted
EMP-115,Corney,Goodere,Male,08-12-2005,Single,corney.goodere@company.com,(891) 8170732,1533 Nova Parkway,Research Associate,Training,On Leave,05-07-2006,Permanent,Head Office,6781,85-219-6019,High Deductible Health Plan,Promoted
EMP-116,Pia,Ferrier,Female,29-04-1979,Single,pia.ferrier@company.com,(619) 3048586,0 Twin Pines Point,Senior Sales Associate,Support,Resigned,03-05-2014,Permanent,Head Office,6848,68-216-0876,Point of Service,Unchanged
EMP-117,Salvatore,Zimmermeister,Male,22-03-2007,Married,salvatore.zimmermeister@company.com,(578) 7850545,713 Walton Alley,Staff Accountant I,Research and Development,Active,27-05-2024,Contract,Head Office,3598,55-338-7509,Medicare,Demoted
EMP-118,Lolita,Karolowski,Female,25-10-2014,Single,lolita.karolowski@company.com,(298) 4522213,5 Mockingbird Crossing,Assistant Media Planner,Product Management,Resigned,16-03-1999,Permanent,Terminal,3248,86-267-0629,Medicare,Unchanged
