user_id,first_name,last_name,user_name,password,role,department,status
USER_60,Tuck,Simchenko,c##t_simchenko,Simchenko6127,Intern,Sales,Active
USER_61,Patricia,Lowdwell,p_lowdwell,Lowdwell6340*,Associate,Training,Active
USER_62,Mireille,Defau,c##m_defau,Defau2471,Accountant,Accounting,Active
USER_63,Lynett,Stopps,l_stopps,Stopps3599?,Specialist,Accounting,Active
USER_64,Laurent,Hegel,l_hegel,Hegel4331/,Systems Administrator,Product Management,Active
USER_65,Gibbie,Cassidy,g_cassidy,Cassidy5661$,Trainer,Sales,Active
USER_66,Ashla,McCooke,a_mccooke,McCooke6535\,Public Relations Officer,Legal,Active
USER_67,Frants,Swanne,f_swanne,Swanne2704$,Manager,Legal,Active
USER_68,Kalina,Rusk,k_rusk,Rusk3435$,Marketing Specialist,Research and Development,Inactive
USER_69,Woodie,Edwinson,w_edwinson,Edwinson6564/,Quality Assurance Tester,Training,Active
USER_70,Urson,Teresi,u_teresi,Teresi3897*,Team Lead,Support,Active
USER_71,Lovell,Hellings,l_hellings,Hellings7810\,Admin,Human Resources,Active
USER_72,Abe,Wickstead,a_wickstead,Wickstead4732*,Event Planner,Support,Inactive
USER_73,Alanah,Wheelan,a_wheelan,Wheelan7806@,Researcher,Services,Active
USER_74,Mabelle,Ratchford,m_ratchford,Ratchford4597@,Quality Assurance Tester,Business Development,Active
USER_75,Raleigh,Jesson,r_jesson,Jesson2617$,Team Lead,Marketing,Inactive
USER_76,Aldridge,D'Antonio,a_d'antonio,D'Antonio5259\,Admin,Services,Active
USER_77,Marcos,Kingshott,m_kingshott,Kingshott4486?,Associate,Sales,Active
USER_78,Claire,Kingaby,c_kingaby,Kingaby3607/,Systems Administrator,Accounting,Active
USER_79,Garwin,Henrichsen,g_henrichsen,Henrichsen9166\,Systems Administrator,Research and Development,Active
USER_80,Rory,Rumke,r_rumke,Rumke5976@,Project Manager,Support,Active
USER_81,Norby,Hannigane,n_hannigane,Hannigane4422\,UX/UI Designer,Accounting,Active
USER_82,Forster,Fray,f_fray,Fray3691\,Quality Assurance Tester,Engineering,Active
USER_83,Vail,Dumsday,v_dumsday,Dumsday9674&,Solution Architect,Marketing,Active
USER_84,Tonia,Stallion,t_stallion,Stallion7821$,Business Development Manager,Engineering,Inactive
USER_85,Lorettalorna,Matuszynski,l_matuszynski,Matuszynski3841\,Employee,Marketing,Active
USER_86,Tymon,Stot,t_stot,Stot6294%,Supervisor,Marketing,Active
USER_87,Jarrad,Bemwell,j_bemwell,Bemwell7764$,Database Administrator,Services,Active
USER_88,Sammie,Eliasson,s_eliasson,Eliasson4320%,Supervisor,Training,Active
USER_89,Oriana,Binham,o_binham,Binham1696$,Marketing Specialist,Marketing,Active
USER_90,Lester,Dovinson,l_dovinson,Dovinson5769\,Analyst,Research and Development,Active
USER_91,Ingemar,Forty,i_forty,Forty9720%,Engineer,Legal,Inactive
USER_92,Adolphus,Smithers,a_smithers,Smithers1507%,Employee,Human Resources,Inactive
USER_93,Petrina,Wyrill,p_wyrill,Wyrill2047*,Content Writer,Legal,Active
USER_94,Torr,Nobles,t_nobles,Nobles1446*,Data Scientist,Engineering,Active
USER_95,Danika,Carding,d_carding,Carding6087*,Accountant,Human Resources,Active
USER_96,Honey,Sygrove,h_sygrove,Sygrove3087@,Social Media Manager,Business Development,Active
USER_97,Gino,Normadell,g_normadell,Normadell1777/,Product Manager,Business Development,Active
USER_98,Dunc,Aymer,d_aymer,Aymer7572\,Scrum Master,Services,Inactive
USER_99,Ramonda,Fehners,r_fehners,Fehners3866$,Lead Developer,Services,Active
USER_100,Franzen,Leeuwerink,f_leeuwerink,Leeuwerink4759?,Employee,Accounting,Inactive
USER_101,Algernon,Mordie,a_mordie,Mordie4364\,Technical Writer,Human Resources,Active
USER_102,Laurel,Ternott,l_ternott,Ternott1442$,IT Support Specialist,Engineering,Active
USER_103,Phyllys,Arthars,p_arthars,Arthars6531@,Supervisor,Legal,Inactive
USER_104,Berenice,Roussel,b_roussel,Roussel6665@,Legal Counsel,Human Resources,Inactive
USER_105,Krysta,Marciek,k_marciek,Marciek9916\,DevOps Engineer,Sales,Active
USER_106,Nataniel,Hearons,n_hearons,Hearons5219*,Assistant,Marketing,Inactive
USER_107,Zaria,Peebles,z_peebles,Peebles1869/,Content Writer,Product Management,Active
USER_108,Lynnett,Gentil,l_gentil,Gentil1896\,Trainer,Research and Development,Active
USER_109,Ardisj,Shorte,c##a_shorte,Shorte1565,HR Manager,Support,Active
USER_110,Farra,Oswal,f_oswal,Oswal2792\,Recruiter,Support,Inactive
USER_111,Brier,Underhill,b_underhill,Underhill1141%,Product Manager,Product Management,Inactive
USER_112,Sven,Jeffreys,s_jeffreys,Jeffreys2669?,Engineer,Services,Active
USER_113,Mavra,Snashall,m_snashall,Snashall7827*,Team Lead,Marketing,Active
USER_114,Fanny,Firmage,f_firmage,Firmage5627%,Coordinator,Engineering,Active
USER_115,Corney,Goodere,c_goodere,Goodere7863\,Supervisor,Training,Inactive
USER_116,Pia,Ferrier,p_ferrier,Ferrier6069\,Network Engineer,Support,Active
USER_117,Salvatore,Zimmermeister,s_zimmermeister,Zimmermeister6666%,UX/UI Designer,Research and Development,Active
USER_118,Lolita,Karolowski,l_karolowski,Karolowski4628@,Social Media Manager,Product Management,Active
USER_119,Bar,Bouller,b_bouller,Bouller7515@,Customer Service Agent,Product Management,Active
USER_120,Estell,Stovell,e_stovell,Stovell7188$,Social Media Manager,Accounting,Active
USER_121,Trev,Wiggett,t_wiggett,Wiggett3268$,Team Lead,Engineering,Inactive
USER_122,Evangelina,Moth,e_moth,Moth9354/,Coordinator,Business Development,Active
USER_123,Patton,Harland,p_harland,Harland5211&,Social Media Manager,Research and Development,Inactive
USER_124,Isaak,Dudeney,i_dudeney,Dudeney9938@,Graphic Designer,Support,Inactive
USER_125,Marcille,Layfield,m_layfield,Layfield1656@,Researcher,Support,Inactive
USER_126,Elihu,Stitwell,e_stitwell,Stitwell6372\,Manager,Engineering,Active
USER_127,Juanita,Lewcock,j_lewcock,Lewcock5637?,Assistant,Training,Active
USER_128,Wilhelmina,Larrington,w_larrington,Larrington9893*,Network Engineer,Research and Development,Active
USER_129,Trish,Greger,t_greger,Greger1774/,Systems Administrator,Accounting,Inactive
USER_130,Buddie,Abad,b_abad,Abad1086/,Supervisor,Services,Active
USER_131,Venus,Barnett,v_barnett,Barnett9817/,Designer,Accounting,Active
USER_132,Zilvia,Kmietsch,z_kmietsch,Kmietsch9148%,Systems Administrator,Sales,Active
USER_133,Devonne,McAne,d_mcane,McAne9834&,Business Development Manager,Product Management,Active
USER_134,Worden,Oseman,w_oseman,Oseman8185\,Business Development Manager,Research and Development,Inactive
USER_135,Mercedes,Backhurst,m_backhurst,Backhurst9215&,Quality Assurance Tester,Product Management,Active
USER_136,Dodi,Stebbin,d_stebbin,Stebbin1449*,Project Manager,Engineering,Active
USER_137,Karine,Hearnshaw,k_hearnshaw,Hearnshaw9654@,Analyst,Marketing,Active
USER_138,Tilly,Wager,t_wager,Wager6712?,Social Media Manager,Marketing,Active
USER_139,Janelle,Delea,j_delea,Delea6398*,Associate,Legal,Active
USER_140,Alie,Nabbs,a_nabbs,Nabbs3038*,Scrum Master,Business Development,Active
USER_141,Shannen,Wisniewski,s_wisniewski,Wisniewski8562&,Admin,Sales,Active
USER_142,Ethelind,Jiggins,e_jiggins,Jiggins9395@,Technical Writer,Services,Active
USER_143,Codi,Poulsum,c_poulsum,Poulsum1273&,Network Engineer,Business Development,Inactive
USER_144,Gibb,Penvarden,g_penvarden,Penvarden5309&,Network Engineer,Accounting,Active
USER_145,Cassandra,Warrack,c_warrack,Warrack6238*,Employee,Human Resources,Inactive
USER_146,Brigida,Pales,b_pales,Pales7689&,Analyst,Training,Active
USER_147,Rosalynd,Renak,r_renak,Renak2401\,IT Support Specialist,Research and Development,Active
USER_148,Carl,Hawkswell,c_hawkswell,Hawkswell8813%,Systems Administrator,Product Management,Inactive
USER_149,Denver,Gajewski,d_gajewski,Gajewski5481/,Legal Counsel,Human Resources,Active
USER_150,Brendin,Wing,b_wing,Wing8924$,Supervisor,Accounting,Inactive
USER_151,Yard,Huntriss,y_huntriss,Huntriss4078/,Executive,Sales,Active
USER_152,Brinn,Handford,b_handford,Handford3872&,Operations Manager,Sales,Active
USER_153,Allyce,Snary,a_snary,Snary5197?,Architect,Business Development,Inactive
USER_154,Leone,Saggs,l_saggs,Saggs6083$,Admin,Engineering,Inactive
USER_155,Myrle,Shewring,m_shewring,Shewring9377/,Recruiter,Support,Active
USER_156,Hortensia,Yes,h_yes,Yes4934*,Designer,Services,Active
USER_157,Morissa,Baress,m_baress,Baress6862/,Accountant,Sales,Active
USER_158,Arly,Givens,a_givens,Givens1075/,UX/UI Designer,Business Development,Inactive
USER_159,Dalt,Ginity,d_ginity,Ginity5419&,Solution Architect,Human Resources,Active
USER_160,Patrica,Fozard,p_fozard,Fozard8317\,Legal Counsel,Human Resources,Active
USER_161,Barclay,Fulkes,b_fulkes,Fulkes7900*,UX/UI Designer,Legal,Active
USER_162,Emily,Jenoure,c##e_jenoure,Jenoure2440,Intern,Marketing,Active
USER_163,Stafford,Gutteridge,s_gutteridge,Gutteridge2774\,Trainer,Product Management,Active
USER_164,Gearalt,Kermannes,g_kermannes,Kermannes8746*,Public Relations Officer,Engineering,Active
USER_165,Elfrieda,Chippendale,e_chippendale,Chippendale4754/,Business Development Manager,Research and Development,Active
USER_166,Karlyn,Pimlock,k_pimlock,Pimlock1054\,Analyst,Services,Active
USER_167,Tommie,Mighele,t_mighele,Mighele6889%,Recruiter,Accounting,Inactive
USER_168,Jerome,Pineaux,j_pineaux,Pineaux1030?,Associate,Accounting,Active
USER_169,Vernor,Androletti,v_androletti,Androletti3682&,Security Analyst,Human Resources,Inactive
USER_170,Olin,Hacking,o_hacking,Hacking3531*,Quality Assurance Tester,Training,Active
USER_171,Holmes,Howels,c##h_howels,Howels7813,Intern,Accounting,Active
USER_172,Theobald,Plumbley,t_plumbley,Plumbley5446*,Database Administrator,Sales,Active
USER_173,Nicola,Tooby,n_tooby,Tooby2856$,Manager,Services,Active
USER_174,Serge,Matitiaho,s_matitiaho,Matitiaho7253/,Analyst,Marketing,Inactive
USER_175,Lavena,Sutter,l_sutter,Sutter1366$,Manager,Research and Development,Active
USER_176,Alfreda,Haggard,a_haggard,Haggard3537&,Recruiter,Marketing,Active
USER_177,Cyndy,Fudger,c_fudger,Fudger2974$,Network Engineer,Human Resources,Active
USER_178,Jodi,Umpleby,j_umpleby,Umpleby2335*,Supervisor,Product Management,Active
USER_179,Flossy,Trownson,f_trownson,Trownson3976*,Admin,Human Resources,Active
USER_180,Addia,Giannasi,a_giannasi,Giannasi8711\,Manager,Accounting,Active
